## 1.1.1
## assembly	: /home/users/sc1830/testing/contigs.fasta
## coverage	 bam0 - /home/users/sc1830/testing/sorted_mapped.bam
## taxonomy	 tax0 - /home/users/sc1830/testing/contigs.fasta.vs.nt.cul5.1e5.megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
NODE_53_length_895_cov_0.944010	895	0.6324	0	1.5824	undef	8240.0	0	Pseudomonadota	8240.0	0	Pseudomonadales	8240.0	0	Pseudomonadaceae	8240.0	0	Pseudomonas	8240.0	0	Pseudomonas aeruginosa	8240.0	0
NODE_54_length_883_cov_0.665344	883	0.7135	0	2.9404	undef	8240.0	0	Pseudomonadota	8240.0	0	Pseudomonadales	8240.0	0	Pseudomonadaceae	8240.0	0	Pseudomonas	8240.0	0	Pseudomonas aeruginosa	8240.0	0
NODE_55_length_872_cov_0.919463	872	0.6433	0	1.6241	undef	8055.0	0	Pseudomonadota	8055.0	0	Pseudomonadales	8055.0	0	Pseudomonadaceae	8055.0	0	Pseudomonas	8055.0	0	Pseudomonas aeruginosa	8055.0	0
NODE_56_length_863_cov_0.817935	863	0.6674	0	1.3675	undef	7866.0	0	Pseudomonadota	7866.0	0	Pseudomonadales	7866.0	0	Pseudomonadaceae	7866.0	0	Pseudomonas	7866.0	0	Pseudomonas aeruginosa	7866.0	0
NODE_57_length_854_cov_1.277854	854	0.6909	0	2.2111	undef	7760.0	0	Pseudomonadota	7760.0	0	Pseudomonadales	7760.0	0	Pseudomonadaceae	7760.0	0	Pseudomonas	7760.0	0	Pseudomonas aeruginosa	7760.0	0
NODE_58_length_851_cov_1.027624	851	0.725	0	1.6642	undef	7860.0	0	Pseudomonadota	7860.0	0	Pseudomonadales	7860.0	0	Pseudomonadaceae	7860.0	0	Pseudomonas	7860.0	0	Pseudomonas aeruginosa	7860.0	0
NODE_59_length_849_cov_0.686981	849	0.4747	0	1.1121	undef	7776.0	0	Pseudomonadota	7776.0	0	Enterobacterales	7776.0	0	Enterobacteriaceae	7776.0	0	Escherichia	7776.0	0	Escherichia coli	7776.0	0
NODE_60_length_840_cov_1.472651	840	0.6667	0	2.529	undef	7730.0	0	Pseudomonadota	7730.0	0	Pseudomonadales	7730.0	0	Pseudomonadaceae	7730.0	0	Pseudomonas	7730.0	0	Pseudomonas aeruginosa	7730.0	0
NODE_61_length_837_cov_309.871831	837	0.4444	0	657.9155	undef	7730.0	0	Pseudomonadota	7730.0	0	Enterobacterales	7730.0	0	Enterobacteriaceae	7730.0	0	Escherichia	6184.0	1	Escherichia coli	6184.0	1
NODE_62_length_829_cov_1.059829	829	0.6936	0	1.7084	undef	7655.0	0	Pseudomonadota	7655.0	0	Pseudomonadales	7655.0	0	Pseudomonadaceae	7655.0	0	Pseudomonas	7655.0	0	Pseudomonas aeruginosa	7655.0	0
